sku,subcat,thread_size,length,threading,specifications_met,thread_type,head_height,material,tensile_strength,hardness,mcmaster_pn,title,part_no,system_of_measurement,head_type,thread_diameter,thread_spacing,thread_direction,thread_fit,drive_style,reach,rohs,head_width,min_thread_length,finish,fastener_strength_grade_class,thread_pitch
0262FA00001,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","1""",Fully Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A331,"92655A331 3/8""-16 x 1"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00001,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00002,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","1 1/4""",Fully Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A338,"92655A338 3/8""-16 x 1 1/4"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00002,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00003,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","1 1/2""",Partially Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A345,"92655A345 3/8""-16 x 1 1/2"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00003,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00004,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","1 3/4""",Partially Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A352,"92655A352 3/8""-16 x 1 3/4"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00004,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00025,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","2""",Partially Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A601,"92655A601 3/8""-16 x 2"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00025,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00026,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","2 1/4""",Partially Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A602,"92655A602 3/8""-16 x 2 1/4"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00026,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00027,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","2 1/2""",Partially Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A603,"92655A603 3/8""-16 x 2 1/2"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00027,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00028,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","2 3/4""",Partially Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A604,"92655A604 3/8""-16 x 2 3/4"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00028,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00029,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","3""",Partially Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A605,"92655A605 3/8""-16 x 3"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00029,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00030,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","4""",Partially Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A606,"92655A606 3/8""-16 x 4"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00030,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00031,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","4 1/2""",Partially Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A607,"92655A607 3/8""-16 x 4 1/2"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00031,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00032,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","5""",Partially Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A608,"92655A608 3/8""-16 x 5"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00032,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00033,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","6""",Partially Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A609,"92655A609 3/8""-16 x 6"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00033,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00034,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","7""",Partially Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A611,"92655A611 3/8""-16 x 7"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00034,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00035,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"3/8""-16","8""",Partially Threaded,ASTM A193,UNC,"15/64""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A612,"92655A612 3/8""-16 x 8"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00035,Inch,Hex,"0.375""",Coarse,Right Hand,Class 2A,External Hex,,,"9/16""",,,ASTM Grade B8,
0262FA00005,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"1/2""-13","1""",Fully Threaded,ASTM A193,UNC,"11/32""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A399,"92655A399 1/2""-13 x 1"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00005,Inch,Hex,"0.5""",Coarse,Right Hand,Class 2A,External Hex,,,"7/8""",,,ASTM Grade B8,
0262FA00006,/products/screws/hex-head-screws/18-8-stainless-steel-heavy-hex-head-screws-for-high-pressure-applications/,"1/2""-13","1 1/4""",Fully Threaded,ASTM A193,UNC,"5/16""",18-8 Stainless Steel,75000 psi,Rockwell B100,92655A401,"92655A401 1/2""-13 x 1 1/4"" ASTM A193 18-8 Stainless Steel Heavy Hex Head Screws for High-Pressure Applications",0262FA00006,Inch,Hex,"0.5""",Coarse,Right Hand,Class 2A,External Hex,,,"7/8""",,,ASTM Grade B8,
