sku,subcat,thread_size,length,threading,specifications_met,thread_type,head_diameter,head_height,material,tensile_strength,hardness,mcmaster_pn,title,part_no,system_of_measurement,head_type,socket_head_profile,thread_diameter,thread_spacing,thread_direction,thread_fit,drive_style,drive_size,reach,rohs,thread_pitch,min_thread_length
0028FA00087,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,4-40,"1/4""",Fully Threaded,-,UNC,"0.183""","0.059""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A110,"93615A110 4-40 x 1/4"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00087,Inch,Socket,Low,"0.112""",Coarse,Right Hand,Class 3A,Hex,"0.050""",Compliant,Compliant,,
0028FA00088,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,4-40,"3/8""",Fully Threaded,-,UNC,"0.183""","0.059""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A111,"93615A111 4-40 x 3/8"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00088,Inch,Socket,Low,"0.112""",Coarse,Right Hand,Class 3A,Hex,"0.050""",Compliant,Compliant,,
0028FA00089,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,4-40,"1/2""",Fully Threaded,-,UNC,"0.183""","0.059""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A112,"93615A112 4-40 x 1/2"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00089,Inch,Socket,Low,"0.112""",Coarse,Right Hand,Class 3A,Hex,"0.050""",Compliant,Compliant,,
0028FA00092,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,6-32,"1/4""",Fully Threaded,-,UNC,"0.226""","0.072""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A210,"93615A210 6-32 x 1/4"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00092,Inch,Socket,Low,"0.138""",Coarse,Right Hand,Class 3A,Hex,"1/16""",Compliant,Compliant,,
0028FA00093,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,6-32,"5/16""",Fully Threaded,-,UNC,"0.226""","0.072""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A211,"93615A211 6-32 x 5/16"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00093,Inch,Socket,Low,"0.138""",Coarse,Right Hand,Class 3A,Hex,"1/16""",Compliant,Compliant,,
0028FA00094,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,6-32,"3/8""",Fully Threaded,-,UNC,"0.226""","0.072""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A215,"93615A215 6-32 x 3/8"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00094,Inch,Socket,Low,"0.138""",Coarse,Right Hand,Class 3A,Hex,"1/16""",Compliant,Compliant,,
0028FA00095,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,6-32,"1/2""",Fully Threaded,-,UNC,"0.226""","0.072""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A216,"93615A216 6-32 x 1/2"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00095,Inch,Socket,Low,"0.138""",Coarse,Right Hand,Class 3A,Hex,"1/16""",Compliant,Compliant,,
0028FA00097,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,6-32,"5/8""",Fully Threaded,-,UNC,"0.226""","0.072""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A218,"93615A218 6-32 x 5/8"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00097,Inch,Socket,Low,"0.138""",Coarse,Right Hand,Class 3A,Hex,"1/16""",Compliant,Compliant,,
0028FA00096,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,6-32,"3/4""",Fully Threaded,-,UNC,"0.226""","0.072""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A217,"93615A217 6-32 x 3/4"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00096,Inch,Socket,Low,"0.138""",Coarse,Right Hand,Class 3A,Hex,"1/16""",Compliant,Compliant,,
0028FA00099,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,8-32,"1/4""",Fully Threaded,-,UNC,"0.27""","0.085""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A317,"93615A317 8-32 x 1/4"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00099,Inch,Socket,Low,"0.164""",Coarse,Right Hand,Class 3A,Hex,"5/64""",Compliant,Compliant,,
0028FA00100,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,8-32,"5/16""",Fully Threaded,-,UNC,"0.27""","0.085""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A318,"93615A318 8-32 x 5/16"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00100,Inch,Socket,Low,"0.164""",Coarse,Right Hand,Class 3A,Hex,"5/64""",Compliant,Compliant,,
0028FA00098,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,8-32,"3/8""",Fully Threaded,-,UNC,"0.27""","0.085""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A315,"93615A315 8-32 x 3/8"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00098,Inch,Socket,Low,"0.164""",Coarse,Right Hand,Class 3A,Hex,"5/64""",Compliant,Compliant,,
0028FA00101,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,8-32,"1/2""",Fully Threaded,-,UNC,"0.27""","0.085""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A320,"93615A320 8-32 x 1/2"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00101,Inch,Socket,Low,"0.164""",Coarse,Right Hand,Class 3A,Hex,"5/64""",Compliant,Compliant,,
0028FA00102,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,8-32,"5/8""",Fully Threaded,-,UNC,"0.27""","0.085""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A321,"93615A321 8-32 x 5/8"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00102,Inch,Socket,Low,"0.164""",Coarse,Right Hand,Class 3A,Hex,"5/64""",Compliant,Compliant,,
0028FA00103,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,8-32,"3/4""",Fully Threaded,-,UNC,"0.27""","0.085""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A323,"93615A323 8-32 x 3/4"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00103,Inch,Socket,Low,"0.164""",Coarse,Right Hand,Class 3A,Hex,"5/64""",Compliant,Compliant,,
0028FA00104,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,8-32,"1""",Fully Threaded,-,UNC,"0.27""","0.085""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A324,"93615A324 8-32 x 1"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00104,Inch,Socket,Low,"0.164""",Coarse,Right Hand,Class 3A,Hex,"5/64""",Compliant,Compliant,,
0028FA00105,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,10-24,"3/8""",Fully Threaded,-,UNC,"0.313""","0.098""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A349,"93615A349 10-24 x 3/8"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00105,Inch,Socket,Low,"0.19""",Coarse,Right Hand,Class 3A,Hex,"3/32""",Compliant,Compliant,,
0028FA00106,/products/screws/socket-head-cap-screws/18-8-stainless-steel-low-profile-socket-head-cap-screws/,10-24,"1/2""",Fully Threaded,-,UNC,"0.313""","0.098""",18-8 Stainless Steel,70000 psi,Rockwell B70,93615A350,"93615A350 10-24 x 1/2"" 18-8 Stainless Steel Low-Profile Socket Head Screws",0028FA00106,Inch,Socket,Low,"0.19""",Coarse,Right Hand,Class 3A,Hex,"3/32""",Compliant,Compliant,,
